PurchaseOrderBooking Dev;Platinium;99,99;265;38,90;7,00;0;6;0;97;101;1243
ContactManagement Dev;Iron;0,00;1304;39,50;3,80;2;202;0;0;17;3698
Packing Dev;Iron;0,00;766;42,40;4,00;10;135;0;0;23;3599
SubsidiaryCompany Dev;Iron;9,20;1170;40,10;1,40;35;631;0;27;27;4544
SubsidiaryPublication Dev;Iron;0,00;717;43,10;7,80;1;83;0;0;0;2019
Discussion Dev;Iron;23,40;4392;36,80;7,30;91;882;0;85;90;18067
SalesAdvice Dev;Iron;47,70;456;36,60;27,90;2;171;0;9;30;1942
Seller Dev;Iron;27,90;13541;38,90;5,50;178;2302;0;508;509;54988
SellerGateway Dev;Iron;26,20;597;34,20;0,00;10;86;0;7;129;2959
SellerPayment Dev;Iron;42,30;374;40,30;0,00;0;10;0;55;55;1323
TicketManagement Dev;Iron;0,00;208;48,30;0,00;2;116;0;0;0;1109
FbcHisto Dev;Iron;37,70;417;37,20;0,00;0;43;0;0;32;1909
FulfilmentSupplyOrder Dev;Platinium;39,60;613;38,70;0,00;0;59;0;23;23;2233
Eureka Dev;Iron;13,50;3848;46,90;9,50;75;758;0;1;11;13415
Eureka.LitigationInfo Dev;Iron;0,00;64;39,10;0,00;0;3;0;0;0;286
Fraud Dev;Platinium;85,80;157;38,20;0,00;1;8;0;20;21;782
Payment.Adapters Dev;Iron;32,20;7795;44,40;7,90;192;1430;3;68;112;32324
Payment.AntiFraud Dev;Iron;0,00;709;47,30;0,00;11;185;0;0;0;3178
Payment.ConfigurationExport Dev;Iron;0,00;390;35,20;0,00;17;132;0;0;0;1833
Payment.CreditCard3DProcessing Dev;Iron;13,00;939;38,80;1,40;7;229;0;0;3;3404
Payment.CreditCardProcessingR2 Dev;Iron;3,50;1236;37,30;5,90;9;293;0;0;2;4628
Payment.DelegateProcessing Dev;Iron;0,00;329;35,40;0,00;5;90;0;0;0;1457
Payment.Feature Dev;Iron;52,00;1279;48,70;3,50;1;250;0;48;51;5002
Payment.InternalPaymentProcessing Dev;Iron;0,00;266;40,00;0,00;3;62;0;0;0;883
Payment.LimonetikProcessing Dev;Iron;0,00;382;42,30;0,00;0;137;0;2;2;1279
Payment.LoanSubscribing;Iron;0,00;425;43,10;5,60;5;109;0;0;6;1237
Payment.MembershipCardProcessing Dev;Iron;0,00;1132;39,00;8,80;11;303;0;1;2;3751
Payment.Merchant Dev;Iron;25,20;760;49,10;0,00;3;227;0;5;5;3159
Payment.MerchantAccount Dev;Iron;15,00;1500;48,80;2,90;8;487;0;18;18;5268
Payment.MerchantGateway Dev;Iron;0,00;1040;37,50;9,80;20;320;0;0;0;4662
Payment.PaymentAdministration Dev;Iron;3,00;911;50,90;11,90;4;186;0;4;5;2728
Payment.PaymentCommon Dev;Iron;0,00;785;58,40;3,90;3;42;0;0;0;4692
Payment.PaymentExchangeLogger Dev;Iron;0,00;250;46,30;7,00;3;81;0;0;0;990
Payment.PaymentJobProcessing Dev;Iron;0,00;23;41,10;0,00;3;11;0;0;1;162
Payment.PaymentNotificationR2 Dev;Iron;96,40;117;40,80;0,00;1;20;0;2;4;662
Payment.PaymentOption Dev;Iron;66,50;2375;49,00;1,70;7;666;0;32;35;8345
Payment.PaymentProcessing Dev;Iron;39,20;1186;44,00;0,00;3;140;0;34;34;5256
Payment.PaymentRequest Dev;Iron;10,10;411;44,80;8,60;4;138;0;2;3;1445
Payment.PaymentScheduleProcessing Dev;Iron;36,00;422;32,10;8,50;2;100;0;85;85;2573
Payment.PaymentScheduler Dev;Iron;27,30;941;50,50;5,20;0;182;0;5;5;2636
Payment.PaymentTransaction Dev;Iron;0,00;2674;50,30;16,20;7;449;0;0;0;7533
Payment.PaymentTransactionCard Dev;Iron;0,00;183;41,70;0,00;1;20;0;0;0;982
Payment.PaymentTransactionExtData Dev;Iron;0,00;147;41,60;0,00;0;32;0;0;5;715
Payment.PaypalProcessing Dev;Iron;0,00;832;39,50;5,10;0;208;0;6;6;2498
Payment.ServicesR1 Dev;Iron;0,00;1068;43,20;2,20;36;381;0;0;0;5059
Payment.StoredCard Dev;Iron;0,00;410;41,60;0,00;1;76;0;0;1;1672
PaymentCommon Dev;Iron;63,70;754;54,90;0,00;11;179;0;41;41;3873
OpenAPI Dev;Iron;0,00;814;45,00;12,70;9;337;0;0;19;3472
